"","2008","2010","2012","2014","2020","order_tab"
"(Intercept)",332.826304012831,485.151998568419,813.236865615168,-472.32889162124,18.3668214541902,1
"N_kgha",6.78707768031158,2.49086802760233,10.7336357648048,-1.41937265680742,5.10453467162626,1
"soc_5_15cm",-4.98032193510815,-0.606064894108448,11.4499568060567,13.6039471204842,-4.30532370040844,1
"I(N_kgha^2)",0.0202463616802279,0.049132922443768,0.00181181543674296,0.10745793713317,0.0702309658751968,1
"P_kgha",26.6430596787854,11.5381453586767,3.819224504386,6.10779811452376,8.66475274561851,1
"I(P_kgha^2)",-0.168656723283775,-0.0185457534528721,-0.027170117528447,-0.00853949807686749,-0.0143084921604089,1
"plotha",-118.333382573311,-162.520226223798,-124.228970724254,-93.3331786323298,-123.215235550721,1
"ncrops",-100.632469832588,-92.3922483294881,-34.4392331512513,-110.030951683078,-76.8260254166266,1
"hhmem",8.29549695345108,14.7290285706396,5.80275493694525,10.1721875898184,7.17323528143941,1
"femhead",-98.1216999403766,-81.517865484658,-34.6306086266198,-130.26256892525,-142.978136110538,1
"headeduc",101.307781120494,30.0702522042144,39.9224082129875,72.4675625780317,61.100919974212,1
"arain_tot",-0.0554944034049821,-0.0257833244009241,0.070369305654459,0.0065816143885655,-0.0788861827249998,1
"population_density",0.0146273671423002,-0.0154699286743057,0.0233083431262821,0.0882847896046581,0.0345170226303319,1
"wc2.1_30s_elev",0.346071301470714,0.207083220323574,0.194698120739355,0.094127303265143,0.35646046894281,1
"sand_0_5cm",-2.45372599576516,-5.32443536435813,-3.01944612858365,-1.43739275028378,-1.81109563017716,1
"nitrogen_0_5cm",19.3162433221615,15.8258967072091,-148.946826234551,-110.782954424272,5.06862711922402,1
"ECN_5_15cm",6.049550574325,6.01951087104307,1.39100690765358,17.9359988602315,18.7020186815214,1
"pH_0_5cm",76.8553020378112,98.9518166546308,-6.43186513460801,240.52832288633,143.78311696441,1
"N_kgha:soc_5_15cm",-0.0879318620962319,-0.0174311630673621,-0.0600736235232546,0.364324079486151,-0.103299854062581,1
"2.5 %.(Intercept)",-519.340379592894,-388.795225295068,113.649282671894,-1418.56019830202,-876.565678001999,2
"97.5 %.(Intercept)",1184.99298761856,1359.09922243191,1512.82444855844,473.90241505954,913.299320910379,3
"2.5 %.N_kgha",-0.0333106350633559,-4.55893339539205,4.60761412881047,-9.40878141882034,-1.62646364359792,2
"97.5 %.N_kgha",13.6074659956865,9.54066945059671,16.8596574007992,6.57003610520551,11.8355329868504,3
"2.5 %.soc_5_15cm",-18.7467059260836,-13.7488880644912,0.768055815556721,1.23478748155424,-17.593156161027,2
"97.5 %.soc_5_15cm",8.78606205586729,12.5367582762743,22.1318577965567,25.9731067594142,8.98250876021013,3
"2.5 %.I(N_kgha^2)",-0.0373248227529224,-0.0186049820156365,-0.057556566028322,0.0342209042463874,-0.000579751323454086,2
"97.5 %.I(N_kgha^2)",0.0778175461133782,0.116870826903172,0.061180196901808,0.180694970019952,0.141041683073848,3
"2.5 %.P_kgha",17.0950426668427,4.5229775566632,-0.889823875049796,-1.90901763731916,1.10589559734928,2
"97.5 %.P_kgha",36.1910766907281,18.5533131606901,8.5282728838218,14.1246138663667,16.2236098938877,3
"2.5 %.I(P_kgha^2)",-0.266526857885309,-0.0633760236393829,-0.0526962659821732,-0.077761025917723,-0.0923073760194286,2
"97.5 %.I(P_kgha^2)",-0.070786588682241,0.0262845167336387,-0.00164396907472081,0.060682029763988,0.0636903916986108,3
"2.5 %.plotha",-154.606605166779,-195.388755569131,-148.807902904359,-124.914734218163,-154.140240016827,2
"97.5 %.plotha",-82.060159979844,-129.651696878464,-99.6500385441498,-61.751623046497,-92.2902310846143,3
"2.5 %.ncrops",-141.26379664552,-134.75087587724,-68.3750157155922,-149.431001248692,-119.974524503345,2
"97.5 %.ncrops",-60.0011430196561,-50.0336207817358,-0.503450586910347,-70.630902117464,-33.6775263299079,3
"2.5 %.hhmem",-5.3170035647922,2.86377416914783,-3.45443909786762,-2.39713032652509,-3.89075370138298,2
"97.5 %.hhmem",21.9079974716944,26.5942829721314,15.0599489717581,22.7415055061619,18.2372242642618,3
"2.5 %.femhead",-184.700834229377,-165.765604397216,-105.883134623102,-220.198304076041,-227.819834844333,2
"97.5 %.femhead",-11.5425656513765,2.72987342789968,36.621917369862,-40.3268337744597,-58.1364373767433,3
"2.5 %.headeduc",32.7982335461754,-34.3334765664965,-6.80429519020291,13.7461407950152,6.69763763080456,2
"97.5 %.headeduc",169.817328694812,94.4739809749252,86.6491116161779,131.188984361048,115.50420231762,3
"2.5 %.arain_tot",-0.193722706430529,-0.157938294393878,-0.0211926836577849,-0.0934054979008996,-0.156851374336117,2
"97.5 %.arain_tot",0.0827338996205645,0.10637164559203,0.161931294966703,0.106568726678031,-0.000920991113882247,3
"2.5 %.population_density",-0.0487413568842202,-0.0532572830609402,-0.013951330223121,0.00476867768425469,-0.00433716251815929,2
"97.5 %.population_density",0.0779960911688206,0.0223174257123288,0.0605680164756852,0.171800901525061,0.0733712077788231,3
"2.5 %.wc2.1_30s_elev",0.261321020913187,0.127063302403044,0.128540307818817,-0.0073148143608245,0.253770540485138,2
"97.5 %.wc2.1_30s_elev",0.430821582028241,0.287103138244105,0.260855933659893,0.19556942089111,0.459150397400483,3
"2.5 %.sand_0_5cm",-6.35853218553499,-9.09344538888171,-6.11237188024605,-6.16072406248038,-6.19315223059456,2
"97.5 %.sand_0_5cm",1.45108019400466,-1.55542533983455,0.0734796230787489,3.28593856191281,2.57096097024025,3
"2.5 %.nitrogen_0_5cm",-111.517075869925,-105.779039745477,-250.715699870777,-243.234619413084,-139.008071615839,2
"97.5 %.nitrogen_0_5cm",150.149562514248,137.430833159896,-47.1779525983241,21.6687105645406,149.145325854287,3
"2.5 %.ECN_5_15cm",-6.34018687741001,-7.234762663691,-10.0588578451573,-1.2343526916395,-1.34129602295668,2
"97.5 %.ECN_5_15cm",18.43928802606,19.2737844057771,12.8408716604645,37.1063504121026,38.7453333859994,3
"2.5 %.pH_0_5cm",-25.9302197564882,-7.82694544290393,-90.8983131080618,127.143891109041,37.7039085028162,2
"97.5 %.pH_0_5cm",179.640823832111,205.730578752165,78.0345828388457,353.912754663619,249.862325426004,3
"2.5 %.N_kgha:soc_5_15cm",-0.340304678997924,-0.295733292051839,-0.287433367799436,0.0917017170495339,-0.336191064799481,2
"97.5 %.N_kgha:soc_5_15cm",0.164440954805461,0.260870965917115,0.167286120752927,0.636946441922768,0.129591356674319,3
